2127827894,65,60,93,1995,62
6260530561,25,20,116,2006,60
9575639750,63,60,88,1991,66
5683107955,79,70,94,1992,64
4942601012,75,70,82,2003,61
6352965183,30,25,121,2002,63
6540308212,97,90,104,1998,72
3611577386,47,45,98,2004,54
9272538105,61,60,96,2011,53
3419038125,71,68,101,2008,52
6439959153,84,80,114,2014,57
4209170601,39,30,103,1997,74
9854349060,59,50,108,2013,68
7793484126,96,90,83,2007,67
5962696346,99,20,81,1996,59
7146266405,37,20,106,2005,73
9901441107,73,60,95,1999,71
6932966958,87,80,112,1993,77
8136174313,76,70,87,1994,55
9106411092,70,50,91,2010,58
2641544114,68,45,113,2012,70
1454370794,69,60,118,2016,69
6091911106,90,80,120,2001,56
2597770680,86,80,115,2015,76
6533586653,43,40,123,2009,65
